Name,Jutsu,Appears In,Sex,Classification,Clan,Tools,Occupation,Team,Affiliation,Nature Type,Images
Fukurokumaru,,,Female,Summon,,,Rich Field Proprietor,,,Lightning Release,https://static.wikia.nocookie.net/naruto/images/1/13/Fukurokumaru.png/revision/latest/scale-to-width-down/300?cb=20181024150852
Fukuyokana,,Anime,Male,,,,Bandit,,,,https://static.wikia.nocookie.net/naruto/images/f/ff/Fukuyokana.png/revision/latest/scale-to-width-down/300?cb=20150627072823
Eiki Fuma,,Anime,Male,,Fuma,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/3/38/Eiki_F%C5%ABma.png/revision/latest/scale-to-width-down/300?cb=20220808014743
Kotaro Fuma,,Anime,Male,,Fuma (Presumed),Fuma Shuriken,Captain of the Konoha Military Police Force,Konoha Military Police Force,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/c/c0/Kotaro.png/revision/latest/scale-to-width-down/300?cb=20180124111524
Funamushi,Summoning Technique (Leech);Water Release: Blood Conversion Technique;Water Release: Furious Roaring Tornado;Water Release: Imminent Danger;Water Release: Jadeite;Water Release: Raging Jellyfish;Water Release: Water Formation Wall;Water Release: Water Spikes,Anime,Male,,Funato,Sword,Pirate,,Land of Water,Water Release,https://static.wikia.nocookie.net/naruto/images/7/77/Funamushi.png/revision/latest/scale-to-width-down/300?cb=20220404093750
Funari,,Anime;Manga,Male,,,Sword,Guard,,,,https://static.wikia.nocookie.net/naruto/images/8/85/Funari.png/revision/latest/scale-to-width-down/300?cb=20140322213930
Araumi Funato,Water Release: Blood Conversion Technique,Anime,Male,,Funato,Chakra Cannon,Head of the Funato Clan,,Land of Water,Water Release,https://static.wikia.nocookie.net/naruto/images/c/c2/Araumi_Funato.png/revision/latest/scale-to-width-down/300?cb=20220130144204
Ikada Funato,,Anime,Male,,Funato,,Shipbuilding apprentice,,Land of Water,Water Release,https://static.wikia.nocookie.net/naruto/images/7/79/Ikada_Funato.png/revision/latest/scale-to-width-down/300?cb=20220522174924
Isari Funato,Water Prison Technique;Water Release: Exploding Water Colliding Wave,Anime,Male,,Funato,Marlin Harpoon,Pirate,,Land of Water,Water Release,https://static.wikia.nocookie.net/naruto/images/c/c5/Isari_Funato.png/revision/latest/scale-to-width-down/300?cb=20220130141629
Minamo Funato,,Anime,Female,,Funato,,Pirate,,Land of Water,,https://static.wikia.nocookie.net/naruto/images/2/24/Minamo.png/revision/latest/scale-to-width-down/300?cb=20220530085032
Seiren Funato,Echolocation Technique;Hiding in Black Fog Technique,Anime,Female,,Funato,Ray Bow,Pirate,,Land of Water,,https://static.wikia.nocookie.net/naruto/images/4/4e/Seiren_Funato.png/revision/latest/scale-to-width-down/300?cb=20220313115013
Tenma Funato,Single Claw Bisection;Summoning: Fiddler Crab;Water Release: Water Scales,Anime,Male,,Funato,Chakra Cannon,Pirate,,Land of Water,Water Release,https://static.wikia.nocookie.net/naruto/images/4/4f/Tenma.png/revision/latest/scale-to-width-down/300?cb=20220313114758
Fundaru,,Anime;Manga;Novel,Male,,,,,,Land of Redaku,,https://static.wikia.nocookie.net/naruto/images/e/e3/Fundaru.png/revision/latest/scale-to-width-down/300?cb=20230122164232
Daikoku Funeno,,Anime;Manga,Male,,,,Academy Teacher,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/7/75/Daikoku_Funeno.png/revision/latest/scale-to-width-down/300?cb=20210815134119
Furofuki,,Anime,Female,Medical-nin,,,Herbologist,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/4/4f/Furofoki.png/revision/latest/scale-to-width-down/300?cb=20210723022916
Furui,,Anime;Manga,Male,,,Kusari,,Eight-Tails Subduing Team,Kumogakure,Lightning Release  ,https://static.wikia.nocookie.net/naruto/images/9/96/Furui.png/revision/latest/scale-to-width-down/300?cb=20120112115433
Fuso,,Anime;Manga;Game,Female,,Uzumaki,,Nurse,,Amegakure,,https://static.wikia.nocookie.net/naruto/images/0/03/Fus%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20141104204904
Futaba,,Anime;Manga,Female,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/4/44/Futaba.png/revision/latest/scale-to-width-down/300?cb=20150129193119
Tsubute Futaba,,Anime,Male,,,,,,Iwagakure,,https://static.wikia.nocookie.net/naruto/images/0/03/Tsubute.png/revision/latest/scale-to-width-down/300?cb=20171223205837
Futami,Chakra Transfer Technique,Anime,Male,,,,Thief  (Former),,Land of Ancestors,,https://static.wikia.nocookie.net/naruto/images/e/e6/Older_Futami.png/revision/latest/scale-to-width-down/300?cb=20160617220430
Futsu,Boil Release: Skilled Mist Technique,Anime;Novel,Male,,,,,,Kumogakure  ,Boil Release,https://static.wikia.nocookie.net/naruto/images/d/d6/Futsu.png/revision/latest/scale-to-width-down/300?cb=20161208125717
Fuyo,Senbon Shower;Sensing Technique,Anime,Female,Sensor Type,,Senbon,,Team Ajisai,Amegakure,,https://static.wikia.nocookie.net/naruto/images/0/0e/Fuyou.png/revision/latest/scale-to-width-down/300?cb=20150526042133
Mizore Fuyukuma,Explosion: Ice Mountain Destruction;Roaring Run: Great Strength Ice Strike,Novel;Game;Movie,Male,,,Chakra Armour,,Doto's Three-Man-Team,Yukigakure,,https://static.wikia.nocookie.net/naruto/images/3/34/Mizore_Fuyukuma.png/revision/latest/scale-to-width-down/300?cb=20160116190349
Gaara,Air Sand Protective Wall;Armour of Sand;Concealed Sand Picture Cat;Desert Layered Imperial Funeral Seal;Desert Suspension;Desert Wave;Desert: Hand;Exploding Sand Boulder;Feigning Sleep Technique;Monstrous Sand Arm;Prison Sand Burial;Quicksand Waterfall Flow;Sand Binding Coffin;Sand Binding Prison;Sand Body;Sand Bullet ;Sand Castle Wolf Horn ;Sand Characters;Sand Clone;Sand Drizzle;Sand Hail;Sand Lightning Needles;Sand Mesh ;Sand Pillar;Sand Restraining Technique;Sand Shuriken;Sand Spear ;Sand Stream;Sand Sword ;Sand Waterfall Funeral;Sand Waterfall Imperial Funeral;Shield of Sand;Successive Shots Sand Drizzle;Third Eye;Ultimately Hard Absolute Attack: Spear of Shukaku ;Ultimately Hard Absolute Defence: Shield of Shukaku;Wind Release: Breakthrough;Wind Release: Great Breakthrough;Wind Release: Infinite Sand Cloud — Great Breakthrough;Wind Release: Multi-Layered Gale ;Wind Release: Sand Buckshot,Anime;Manga;Novel;Game;Movie,Male,Jinchuriki,Kazekage   ,Gold Dust,Kazekage,Three Sand Siblings,Sunagakure,Magnet Release  ,https://static.wikia.nocookie.net/naruto/images/2/20/Gaara_in_Part_I.png/revision/latest/scale-to-width-down/300?cb=20221010023824
Gama,Whip of Love,Anime;Manga;Game,Male,Summon,,,,,Mount Myoboku,,https://static.wikia.nocookie.net/naruto/images/9/9f/Gama.png/revision/latest/scale-to-width-down/300?cb=20150123151452
Gamabunta,Combination Transformation;Fire Release: Toad Oil Flame Bullet;Toad Oil Bullet;Toad Sword Beheading;Water Release: Gunshot,Anime;Manga;Novel;Game;Movie,Male,Summon,,Tanto,,,Mount Myoboku,Water Release,https://static.wikia.nocookie.net/naruto/images/f/f6/Gamabunta2.png/revision/latest/scale-to-width-down/300?cb=20150131220923
Gamaden,,Anime;Manga,Male,,,,,,Mount Myoboku,,https://static.wikia.nocookie.net/naruto/images/b/b0/Gamaden.png/revision/latest/scale-to-width-down/300?cb=20170411040502
Gamagoro,,Anime;Novel;Game,Male,Summon,,,,,Mount Myoboku,,https://static.wikia.nocookie.net/naruto/images/5/5c/Gamagoro.png/revision/latest/scale-to-width-down/300?cb=20170426103605
Gamahiro,,Anime;Manga;Novel;Game;Movie,Male,Summon,,Sword,,,Mount Myoboku,,https://static.wikia.nocookie.net/naruto/images/e/e6/Gamahiro.png/revision/latest?cb=20111105165642
Gamaken,Exploding Sasumata Attack ,Anime;Manga;Novel;Game;Movie,Male,Summon,,Sasumata,,,Mount Myoboku,,https://static.wikia.nocookie.net/naruto/images/9/98/Gamaken.png/revision/latest/scale-to-width-down/300?cb=20210926033239
Gamakichi,Fire Release: Flame Bullet ;Reverse Summoning Technique;Sage Mode;Starch Syrup Gun;Toad Sword Beheading;Wind Release: Toad Oil Flame Bullet ,Anime;Manga;Game,Male,Sage,,Tanto,,,Mount Myoboku,Water Release,https://static.wikia.nocookie.net/naruto/images/e/e1/Gamakichi.PNG/revision/latest/scale-to-width-down/300?cb=20150130205312
Gamamaru,Sage Mode ;Telescope Technique;Water Release: Water Gun ,Anime;Manga;Novel;Game;Movie,Male,Sage,,Secret Treasure of the Toads ,,,Mount Myoboku,Water Release  ,https://static.wikia.nocookie.net/naruto/images/7/76/Gamamaru_infobox.png/revision/latest/scale-to-width-down/300?cb=20150404054457
Gamamichi,,,Male,,,,Instructor,,Mount Myoboku,,https://static.wikia.nocookie.net/naruto/images/8/8f/Gamamichi.png/revision/latest/scale-to-width-down/300?cb=20210423043016
Gamariki,Genjutsu Kiss ;Water Release: Water Gun ;Whip of Love ,Anime;Novel;Game;Movie,Male,Summon,,,,,Mount Myoboku,Water Release,https://static.wikia.nocookie.net/naruto/images/c/c0/Gamariki.png/revision/latest/scale-to-width-down/300?cb=20210914020006
Gamatama,,Anime;Manga,Male,,,,Name-registration clerk,,Mount Myoboku,,https://static.wikia.nocookie.net/naruto/images/0/08/Gamatama.png/revision/latest/scale-to-width-down/300?cb=20170411035510
Gamatatsu,Toad Oil Bullet ;Water Release: Water Gun ;Wind Release: Toad Gun ;Wind Release: Toad Oil Bullet ;Wind Release: Toad Oil Flame Bullet ,Anime;Manga;Game,Male,Summon,,,,,Mount Myoboku,Water Release  ,https://static.wikia.nocookie.net/naruto/images/8/81/Gamatatsu.png/revision/latest/scale-to-width-down/300?cb=20150130163655
Gameru,,Anime,Male,,,Dako,,,,,https://static.wikia.nocookie.net/naruto/images/f/fe/Gameru.PNG/revision/latest/scale-to-width-down/300?cb=20220209090802
Gando,Puppet Technique,Game,Male,,Shirogane,Barrier Puppets,,Shirogane Three,Land of Wind,,https://static.wikia.nocookie.net/naruto/images/e/e8/Gandou.jpg/revision/latest/scale-to-width-down/300?cb=20111212015921
Kiseru Gankubi,Fire Release Chakra Mode;Fire Release: Deep Flame Explosion;Fire Release: Flame Attack;Fire Release: Flame Bullet;Fire Release: Flaming Hail;Fire Release: Phoenix Sage Fire Technique;Mystical Palm Technique,Anime,Male,Medical-nin,,,Outer  (Former),Five Great Countries' Joint Investigation Team,Konohagakure,Fire Release,https://static.wikia.nocookie.net/naruto/images/1/1f/Kiseru_Gankubi.png/revision/latest/scale-to-width-down/300?cb=20221204172235
Ganno,,Anime;Manga;Novel,Male,,,,Painter,,Land of Redaku,,https://static.wikia.nocookie.net/naruto/images/d/de/Ganno_anime.png/revision/latest/scale-to-width-down/300?cb=20230129000658
Ganryu,,Anime,Male,,,Sword,,Team Ganryu,Kirigakure,,https://static.wikia.nocookie.net/naruto/images/8/81/Ganryu.png/revision/latest/scale-to-width-down/300?cb=20210817011528
Doseki Ganryu,,Anime,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/9/9a/Doseki_Ganry%C5%AB.png/revision/latest/scale-to-width-down/300?cb=20220821191116
Gantetsu,,Anime,Male,Missing-nin,,,,Shinobazu,,,https://static.wikia.nocookie.net/naruto/images/2/2d/Gantetsu.png/revision/latest/scale-to-width-down/300?cb=20150626183925
Gantetsu (Iwagakure),,Anime;Manga;Game,Male,Missing-nin,,,,,Iwagakure,,https://static.wikia.nocookie.net/naruto/images/b/bd/Gantetsu_Iwa.png/revision/latest/scale-to-width-down/300?cb=20150118184850
Garaga,,Anime,Male,Summon,,Poison,,,Ryuchi Cave,,https://static.wikia.nocookie.net/naruto/images/c/c3/Garaga.png/revision/latest/scale-to-width-down/300?cb=20181015023507
Garakuta Gang Leader,Earth Release: Bottomless Swamp,,Male,,,,Thief,Garakuta Gang,,Earth Release,https://static.wikia.nocookie.net/naruto/images/f/f9/Garakuta_Gang_Leader.png/revision/latest/scale-to-width-down/300?cb=20210223021509
Gari,,Anime;Manga;Game,Male,,,,Captain of the Explosion Corps  ,Explosion Corps,Iwagakure,Explosion Release,https://static.wikia.nocookie.net/naruto/images/0/03/Gari_Anime.png/revision/latest/scale-to-width-down/300?cb=20160307035105
Garo,,Anime;Manga,Male,,,Shinobi Gauntlet,Outer,,Kara,,https://static.wikia.nocookie.net/naruto/images/0/07/Gar%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20210301010111
Garuda,,Anime;Manga;Game,Male,Summon,,,,,,,https://static.wikia.nocookie.net/naruto/images/e/e6/Garuda_Summoned.png/revision/latest/scale-to-width-down/300?cb=20160505201908
Garyo,,,Male,,,,Leader of the Ryuha Armament Alliance,Ryuha Armament Alliance,,,
Gatai,Lightning Release: Pulverising Lightning Rod,Anime,Male,,,Club,,,Kumogakure,Lightning Release,
Gataro,,Anime,Male,,,Explosive Tag Ball,Pirate,,,,https://static.wikia.nocookie.net/naruto/images/9/96/Gataro3.png/revision/latest/scale-to-width-down/300?cb=20140801202617
Gatekeeper,Genjutsu Ball Trap;Water Release: Wild Water Wave,,Male,,,,Moon entrance guardian,,Moon,Water Release,https://static.wikia.nocookie.net/naruto/images/5/56/The_Gatekeeper_movie.png/revision/latest/scale-to-width-down/300?cb=20150714130151
Gato,,Anime;Manga;Novel;Game,Male,,,,Businessman,Gato Company,Land of Waves,,https://static.wikia.nocookie.net/naruto/images/d/d8/Gato.png/revision/latest/scale-to-width-down/300?cb=20150221135530
Gatsu,,Anime,Male,,,Club,Bounty Hunter,,Land of Stone,,https://static.wikia.nocookie.net/naruto/images/7/72/Gatsu.png/revision/latest/scale-to-width-down/300?cb=20150627120057
Gazeru,,Manga,Female,,,Sword,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/c/ce/Gazeru.png/revision/latest?cb=20150807084103
Gekko,Genjutsu Cursed Seal,Anime,Male,Missing-nin,,Sword,,Byakuya Gang,Land of Snow,Yin Release,https://static.wikia.nocookie.net/naruto/images/0/00/Gekkou.png/revision/latest/scale-to-width-down/300?cb=20180222191245
Hayate Gekko,Dance of the Crescent Moon;Secret Sword: Moonlight ;Shadow Clone Technique;Transparent Escape Technique ,Anime;Manga;Novel;Game;Movie,Male,,,Bo ,Chunin Exams Proctor,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/3/3a/Hayate_Gekk%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20150118200748
Gekomatsu,Chakra Entity,Game,Male,,,,,,Mount Myoboku,,https://static.wikia.nocookie.net/naruto/images/3/39/Gekomatsu.png/revision/latest?cb=20170517114214
Genbu,,Anime;Manga;Novel;Game,Male,,,,Training ground,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/6/69/Island_Turtle.png/revision/latest/scale-to-width-down/300?cb=20210816193843
Genbu (minister),,Anime,Male,,,,Minister,,Land of That,,https://static.wikia.nocookie.net/naruto/images/e/e1/Minister_Genbu.png/revision/latest/scale-to-width-down/300?cb=20221010022858
Gengo,Demonic Illusion: Cajolery of Glamour;Sensing Technique ;Summoning Technique ,Anime;Novel;Game,Male,Missing-nin,,Sword ,Leader of the Enlightened Ones,Enlightened Ones,Kirigakure,Yin Release,https://static.wikia.nocookie.net/naruto/images/e/ef/Gengo.png/revision/latest/scale-to-width-down/300?cb=20170202205822
Genie,,Anime,Male,,,,,,,,https://static.wikia.nocookie.net/naruto/images/8/8c/Genie.png/revision/latest/scale-to-width-down/300?cb=20160118155757
Genji,,Anime;Manga,Male,,,,Village Elder,,Kirigakure,,https://static.wikia.nocookie.net/naruto/images/e/e9/Kiri_Elder.png/revision/latest/scale-to-width-down/300?cb=20220210082028
Genmai,,Anime,Male,,,,,,Inaho Village,,https://static.wikia.nocookie.net/naruto/images/3/3a/Genmai.PNG/revision/latest/scale-to-width-down/300?cb=20100627193023
Gennai,,Anime;Manga;Game,Male,,,,,Team Komugi,Konohagakure,Fire Release  ,https://static.wikia.nocookie.net/naruto/images/0/0c/Gennai3.png/revision/latest/scale-to-width-down/300?cb=20150521141814
Genno,Heavenly Punishment;Rockslide Genjutsu;Summoning Technique (Giant Eagle),Anime,Male,,,Explosive Tag,,,Kagero Village,Yin Release,https://static.wikia.nocookie.net/naruto/images/2/2c/Genn%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20150626152828
Genno's Son,,,Male,,,,,,Kagero Village,,https://static.wikia.nocookie.net/naruto/images/d/d5/Genn%C5%8D%27s_son.png/revision/latest/scale-to-width-down/300?cb=20150626153249
Gen'yumaru,,Anime;Manga;Game;Movie,Male,,,,Prisoner,,,,https://static.wikia.nocookie.net/naruto/images/2/22/Gen%27y%C5%ABmaru.png/revision/latest/scale-to-width-down/300?cb=20150130164957
Genzo,,Anime;Manga;Game,Male,,,,Photographer,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/e/ec/Genzo.png/revision/latest/scale-to-width-down/300?cb=20150220151144
Gerotora,,Anime;Manga;Game,Male,Summon,,,,,Mount Myoboku,,https://static.wikia.nocookie.net/naruto/images/f/fa/Gamatora.png/revision/latest/scale-to-width-down/300?cb=20220218132513
Giant Anteater,,,Male,,,,,Four Ninja Animal Warriors,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/5/5b/Anteater.png/revision/latest/scale-to-width-down/300?cb=20160925065036
Giant Bee,Honey Spit Trap,Anime,,Summon,,,,,Kamizuru Clan,,https://static.wikia.nocookie.net/naruto/images/1/1d/Queen_Bee.PNG/revision/latest/scale-to-width-down/300?cb=20150508022827
Giant Centipede,,,,Summon,,,,,,,https://static.wikia.nocookie.net/naruto/images/2/21/Giant_Centipede.png/revision/latest/scale-to-width-down/300?cb=20160627050050
Giant Clam,Demonic Illusion: Steaming Multistoried Building,Anime;Manga;Game,,Summon,,,,,Kirigakure,Yin Release,https://static.wikia.nocookie.net/naruto/images/3/31/Ohamaguri.png/revision/latest/scale-to-width-down/300?cb=20150301094757
Giant Corpse Crab,,Anime,,,,,,,,,https://static.wikia.nocookie.net/naruto/images/4/45/Skeleton_Crab.png/revision/latest/scale-to-width-down/300?cb=20110818143311
Giant Crustacean,Water Release: Wild Bubble Wave,,,Summon,,,,,,Water Release,https://static.wikia.nocookie.net/naruto/images/0/0e/Giant_Crustacean.png/revision/latest/scale-to-width-down/300?cb=20150221063525
Giant Drill-Beaked Bird,Green Egg Bombs ,,Female,Summon,,,,,,,https://static.wikia.nocookie.net/naruto/images/f/f5/Giant_Drill-Beaked_Bird.PNG/revision/latest/scale-to-width-down/300?cb=20150207100000
Giant Eagle,,,,Summon,,,,,Land of Mountains,,https://static.wikia.nocookie.net/naruto/images/d/d9/Giant_Ninja_Bird.png/revision/latest/scale-to-width-down/300?cb=20150626164534
Giant Insect,,,,Summon,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/3/36/Shino%27s_Summoning.png/revision/latest/scale-to-width-down/300?cb=20170516140059
Giant Marlin,,,,Summon,,,,,,,https://static.wikia.nocookie.net/naruto/images/2/23/Giant_Marlin.png/revision/latest/scale-to-width-down/300?cb=20211121205504
Giant Multi-Headed Dog,,Anime;Manga;Game,,Summon,,,,,,,https://static.wikia.nocookie.net/naruto/images/5/5a/Multi_headed_dog2.PNG/revision/latest/scale-to-width-down/300?cb=20150209111333
Giant Ox,,,,Summon,,,,,,,https://static.wikia.nocookie.net/naruto/images/4/4b/Giant_Ram.PNG/revision/latest/scale-to-width-down/300?cb=20150308033833
Giant Panda,,,,Summon,,,,,,,https://static.wikia.nocookie.net/naruto/images/c/cc/Giant_Panda.png/revision/latest/scale-to-width-down/300?cb=20150306154615
Giant Rhino,,,,Summon,,,,,,,https://static.wikia.nocookie.net/naruto/images/7/73/Giant_rhino.png/revision/latest/scale-to-width-down/300?cb=20160630065945
Giant Snake-Tailed Chameleon,,,,Summon,,,,,,,https://static.wikia.nocookie.net/naruto/images/5/50/Giant_Chameleon.png/revision/latest/scale-to-width-down/300?cb=20160704050752
Giant Squid,,,,,,,Guardian of the Island Turtle,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/7/72/Giant_Squid.png/revision/latest/scale-to-width-down/300?cb=20220210081423
Three Giant Snakes,,,,Summon,,,,,Ryuchi Cave,,https://static.wikia.nocookie.net/naruto/images/6/6b/Three_Ginat_Snakes.png/revision/latest/scale-to-width-down/300?cb=20120918111656
Giichi,,Anime;Manga;Novel;Game,Male,,,,Construction worker,,Land of Waves,,https://static.wikia.nocookie.net/naruto/images/1/14/Giichi2.png/revision/latest/scale-to-width-down/300?cb=20150221142229
Ginji,,Anime;Manga,Male,,,,Banker,,Akatsuki,,https://static.wikia.nocookie.net/naruto/images/5/52/Ginji.png/revision/latest/scale-to-width-down/300?cb=20220118195200
Ginkaku,,Anime;Manga;Novel;Game,Male,Pseudo-Jinchuriki,,Benihisago,,Gold and Silver Brothers,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/0/03/Ginkaku_268.png/revision/latest/scale-to-width-down/300?cb=20160127044749
Gitai,Earth Release: Demonic Rock Spider Armour;Earth Release: Earth Corridor;Earth Release: Stamping Rock Explosion Technique;Earth Release: Tracking Projectiles Technique;Fire Release: Running Fire,Novel;Movie,Male,,,,,Gang of Four,Land of Demons,Earth Release  (While chakra enhanced),https://static.wikia.nocookie.net/naruto/images/e/e4/Gitai.png/revision/latest/scale-to-width-down/300?cb=20150723225533
Doshu Goetsu,Chakra Transfer Technique ;Multiple String Light Formation ;Mystical Palm Technique ;String Light Formation ,Anime;Manga;Novel;Game,Male,Medical-nin,,Blowpipe ,,Team 40  ,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/1/14/Doshu.png/revision/latest/scale-to-width-down/300?cb=20171220103226
Goji,Water Release: Mouth Shot,,Male,,,,,Team Goji,Sunagakure,Water Release,https://static.wikia.nocookie.net/naruto/images/f/f6/Goji.png/revision/latest/scale-to-width-down/300?cb=20211026004951
Gojo,,Anime,Male,,,,,,Land of Wind,,
Gokai,Water Prison Technique,Anime,Male,,Funato,Spear,Pirate,,Land of Water,Water Release,https://static.wikia.nocookie.net/naruto/images/d/d8/Gokai.png/revision/latest/scale-to-width-down/300?cb=20220503004939
Gonbee,,Anime;Manga,Male,,,,,,Kirigakure,,https://static.wikia.nocookie.net/naruto/images/0/06/Gonbee.png/revision/latest/scale-to-width-down/300?cb=20220210082447
Goshiki,,Anime;Manga,Male,,,,Tanzaku Castle guide,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/7/71/Goshiki.png/revision/latest/scale-to-width-down/300?cb=20150130162946
Gosho,,,Male,,,,,,Ceramic Village,,
Gosunkugi,Flying Nail Mist Soaring;Torpedo Nails,Anime,Male,,,Sword,Thief,,Land of Stone,,https://static.wikia.nocookie.net/naruto/images/7/78/Gosunkugi.png/revision/latest/scale-to-width-down/300?cb=20150627115916
Gotta,Body Oxidation Technique,Anime;Game,Male,,Iburi,Tanto,,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/3/3d/Gotta.png/revision/latest/scale-to-width-down/300?cb=20140227130247
Goza,,Anime;Manga,Male,,,,Senior,Suna Council,Sunagakure,,https://static.wikia.nocookie.net/naruto/images/e/e0/Goza.png/revision/latest/scale-to-width-down/300?cb=20160113170942
Gozu,Water Release: Hiding in Water Technique,Anime;Manga;Novel;Game,Male,Missing-nin,,Kusari,Zabuza's subordinate,Demon Brothers,Kirigakure,Water Release,https://static.wikia.nocookie.net/naruto/images/7/7b/Gozu_profile_pic.png/revision/latest/scale-to-width-down/300?cb=20160115175608
Gozu,Body Alteration;Earth Release: Hiding Like a Mole Technique;Earth Release: Mud Body Technique;Mudshot Technique,Anime,Male,,,,,Team Guren,Otogakure,Earth Release,https://static.wikia.nocookie.net/naruto/images/c/cf/Gozu.png/revision/latest/scale-to-width-down/300?cb=20160425175815
Gozu (Root),,Novel,Male,,,,,,Konohagakure,,
Guren,,Anime;Game,Female,,,,,Team Guren,Otogakure,Crystal Release,https://static.wikia.nocookie.net/naruto/images/9/90/Guren.png/revision/latest/scale-to-width-down/300?cb=20160425181202
Guren (prisoner),,Anime;Manga;Game,,,,,,,,,https://static.wikia.nocookie.net/naruto/images/0/0a/Guren_%28prisoner%29.png/revision/latest/scale-to-width-down/300?cb=20150828100833
Guruko,,Anime;Manga;Novel;Game;Movie,Male,Summon,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/a/a5/Guruko_ninken.png/revision/latest/scale-to-width-down/300?cb=20111215124536
Might Guy,Daytime Tiger;Double Dynamic Entry;Dynamic Action ;Dynamic Entry;Eight Gates;Eight Gates Released Formation;Evening Elephant;Front Lotus;Intersection Method ;Leaf Coiling Whirlwind;Leaf Coiling Wind ;Leaf Drop ;Leaf Gale;Leaf Great Flash ;Leaf Great Whirlwind ;Leaf Gust ;Leaf Rock-Destroying Rise;Leaf Strong Whirlwind;Leaf Whirlwind;Little Toe Attack;Morning Peacock;Night Guy;Reverse Lotus;Seasickness Fist ;Shadow of the Dancing Leaf;Strong Fist;Summoning Technique (Tortoise);Violent — Leaf Adamantine-Strength Whirlwind,Anime;Manga;Novel;Game;Movie,Male,,,Bow & Arrow ,Academy Teacher  ,Team Choza,Konohagakure,Fire Release,https://static.wikia.nocookie.net/naruto/images/3/31/Might_Guy.png/revision/latest/scale-to-width-down/300?cb=20150401084456
Gyuki,,Anime;Manga;Novel;Game;Movie,,Tailed Beast,,,,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/d/d7/Gyuki.png/revision/latest/scale-to-width-down/300?cb=20140817221249
Hachidai,,Anime,Male,,,,Miner,,Land of Rivers,,https://static.wikia.nocookie.net/naruto/images/1/11/Hachidai2.png/revision/latest/scale-to-width-down/300?cb=20150602114716
Tsurushi Hachiya,Crimson Mist Barrier Technique;Water Characters,Anime;Novel,Male,,,Sword ,,,Kirigakure,Water Release,https://static.wikia.nocookie.net/naruto/images/9/9d/Hachiya.png/revision/latest/scale-to-width-down/300?cb=20220225032606
Kotetsu Hagane,Chains: Twin Fangs Slash;Demonic Illusion: False Surroundings Technique;Twin Fangs Slash,Anime;Manga;Novel;Game;Movie,Male,,,Bo ,Chunin Exams Assistant,Twenty Platoons,Konohagakure,Yin Release,https://static.wikia.nocookie.net/naruto/images/8/81/Kotetsu_Hagane.png/revision/latest/scale-to-width-down/300?cb=20160115135316
Hagiri,,,Male,,,,,,Konohagakure,,
Haguruma,,Anime,Male,,,,Kaminarimon  Company  programmer,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/6/63/Haguruma.png/revision/latest/scale-to-width-down/300?cb=20180124114724
Haido,Gelel Blast;Gelel Laser,Novel;Movie,Male,,,Book of Gelel,Leader of the Utopian forces,Haido's Knights,Temujin's Continent,,https://static.wikia.nocookie.net/naruto/images/3/37/Haido.png/revision/latest/scale-to-width-down/300?cb=20150212124615
Haie,,Anime,Male,,,,Hozuki Castle guard,,Kusagakure,,https://static.wikia.nocookie.net/naruto/images/0/04/Haie.png/revision/latest/scale-to-width-down/300?cb=20200229181423
Three Haimaru Brothers,Fang Rotating Fang,Anime;Manga,Male,,Inuzuka,,,Fifth Division,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/2/2c/Haimaru_brothers.png/revision/latest/scale-to-width-down/300?cb=20140705145936
Hainosuke,,,Male,,,,,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/2/25/Hainosuke.png/revision/latest?cb=20190322225035
Hakkaku,,Anime,Male,Cooking-nin,,,Ramen chef,,Land of Lightning,,https://static.wikia.nocookie.net/naruto/images/6/62/Hakkaku.png/revision/latest/scale-to-width-down/300?cb=20150627073916
